"lon","lat","dwnld.date"
-106.195833,38.556111,2017-07-25
-113.64,36.07,2017-07-25
-113.56,36.37,2017-07-25
-110.7081,38.8664,2017-07-25
-104.9656,39.7456,2017-07-25
-105.1817,40.7631,2017-07-25
-105.1817,40.7631,2017-07-25
-104.96555,39.74555,2017-07-25
-105.18166,40.76305,2017-07-25
-104.9656,39.7456,2017-07-25
-115.3723,35.2721999991101,2017-07-25
-105.961944,38.507778,2017-07-25
-105.96194,38.50777,2017-07-25
-105.961944,38.507778,2017-07-25
-105,39,2017-07-25
-110,40,2017-07-25
-11.418889,38.754722,2017-07-25
-111.41888,38.75472,2017-07-25
-11.418889,38.754722,2017-07-25
-112.1174,36.06628,2017-07-25
-112.128,36.05361,2017-07-25
-112.1184,36.04881,2017-07-25
-111.83111,36.03194,2017-07-25
-112.8085,38.21883,2017-07-25
-111.66,39.19,2017-07-25
-109.425,39.6708,2017-07-25
-106.026389,36.505278,2017-07-25
-106.026389,36.505278,2017-07-25
-105.104202,38.208302,2017-07-25
-108.495834,38.920834,2017-07-25
-109.425003,39.670834,2017-07-25
-105.104202,38.208302,2017-07-25
-109.15,39.7792,2017-07-25
-108.4958,38.9208,2017-07-25
-109.150001,39.779167,2017-07-25
-112.683334,37.879166,2017-07-25
-109.15,39.7792,2017-07-25
-109.150001,39.779167,2017-07-25
-108.495833,38.920833,2017-07-25
-109.425003,39.670834,2017-07-25
-108.533333,39.304167,2017-07-25
-108.533333,39.304165,2017-07-25
-105.0194,37.7775,2017-07-25
-105.0194,37.7775,2017-07-25
-105.992778,38.3575,2017-07-25
-106.230556,38.141111,2017-07-25
-106.207222,38.183333,2017-07-25
-106.207222,38.183333,2017-07-25
-106.170556,38.114167,2017-07-25
-106.170556,38.114167,2017-07-25
-104.6622,32.1969,2017-07-25
-112.3,38.09,2017-07-25
-105.55777,36.25222,2017-07-25
-111.726667,34.914167,2017-07-25
-111.726667,34.914167,2017-07-25
-105.557778,36.252222,2017-07-25
-104.975833,37.413889,2017-07-25
-103.337394,37.523025,2017-07-25
-104.975833,37.413889,2017-07-25
-103.337995,37.52323,2017-07-25
-112.120556,36.055,2017-07-25
-115.5856,35.5260999991074,2017-07-25
-115.3113,35.2599999991103,2017-07-25
-115.3113,35.26,2017-07-25
-115.3087,35.2633999991102,2017-07-25
-115.5856,35.5261,2017-07-25
-104.9619,39.73193,2017-07-25
-104.9619,39.73193,2017-07-25
-109.210077,39.798416,2017-07-25
-111.42,33.67,2017-07-25
-110.474275,40.165433,2017-07-25
-111.42,33.67,2017-07-25
-110.474275,40.165433,2017-07-25
-110.926442,38.847473,2017-07-25
-110.926442,38.847473,2017-07-25
-108.239444,32.476111,2017-07-25
-105.7194,38.0325,2017-07-25
-105.5981,35.0047,2017-07-25
-105.5981,35.0047,2017-07-25
-109.1755,40.89433,2017-07-25
-106.133704,38.906394,2017-07-25
-104.9619,39.73193,2017-07-25
-104.9619,39.73193,2017-07-25
-111.98,40.44,2017-07-25
-112.17,40.65,2017-07-25
-98.663889,19.366667,2017-07-25
-110.83,40.17,2017-07-25
-104.783333,31.707778,2017-07-25
-110.83,40.17,2017-07-25
-108.875,38.466667,2017-07-25
-107.891663,39.6580839990728,2017-07-25
-107.85,39.96666,2017-07-25
-104.05,30.48333,2017-07-25
-103.983002,35.316002,2017-07-25
-105.716667,38.033333,2017-07-25
-111,39.5,2017-07-25
-104.86,31.891111,2017-07-25
-111.893047,34.829466,2017-07-25
-106.674887,39.927521,2017-07-25
-106.674887,39.927521,2017-07-25
-104.923972,37.154081,2017-07-25
-102.947127,37.041657,2017-07-25
-110.736944,33.789167,2017-07-25
-110.736944,33.789167,2017-07-25
-109.32,38.43,2017-07-25
-108.796,33.3616,2017-07-25
-104.942254,38.390536,2017-07-25
-103.05972,36.84274,2017-07-25
-109.08,40.1,2017-07-25
-109.18,39.65,2017-07-25
-115.3077,35.2636999991102,2017-07-25
-115.3077,35.2637,2017-07-25
-115.3124,35.2603,2017-07-25
-109.5022,39.7369,2017-07-25
-115.3124,35.2602999991103,2017-07-25
-107.966667,39.766667,2017-07-25
-115.6917,34.839399999115,2017-07-25
-115.6917,34.8394,2017-07-25
-115.3516,35.2836,2017-07-25
-115.3516,35.28359999911,2017-07-25
-101.036667,25.3375,2017-07-25
-101.036667,25.3375,2017-07-25
-115.2647,35.2735999991101,2017-07-25
-115.2759,35.2721,2017-07-25
-115.2734,35.2723999991101,2017-07-25
-115.2734,35.2723999991101,2017-07-25
-115.2647,35.2735999991101,2017-07-25
-115.2759,35.2720999991101,2017-07-25
-115.3113,35.2620999991102,2017-07-25
-115.3113,35.2621,2017-07-25
-115.298,35.2525999991104,2017-07-25
-115.298,35.2526,2017-07-25
-112.23,37.77,2017-07-25
-100.738933,23.830056,2017-07-25
-102.92651,36.90305,2017-07-25
-104.1325,23.434722,2017-07-25
-115.29972,35.2252799991106,2017-07-25
-115.29972,35.22528,2017-07-25
-103.02349,36.81373,2017-07-25
-103.80415,35.77684,2017-07-25
-107.90472,32.64474,2017-07-25
-103.02349,36.81373,2017-07-25
-109.35,37.89166,2017-07-25
-115.633611,35.268889,2017-07-25
-102.97028,36.877688,2017-07-25
-115.2908,35.2584,2017-07-25
-115.2908,35.2583999991103,2017-07-25
-115.468333,35.2158329991108,2017-07-25
-115.633611,35.268889,2017-07-25
-115.468333,35.215833,2017-07-25
-100.197222,33.942778,2017-07-25
-100.197222,33.942778,2017-07-25
-115.510556,34.9877779991133,2017-07-25
-115.510556,34.987778,2017-07-25
-115.465,34.966667,2017-07-25
-115.465,34.9666669991135,2017-07-25
-103.99425,37.64356,2017-07-25
-102.96817,37.03672,2017-07-25
-109.48,32.15,2017-07-25
-108.28,33.17,2017-07-25
-112,34,2017-07-25
-108.43,31.74,2017-07-25
-109.37,33.13,2017-07-25
-115.2891,35.2725999991101,2017-07-25
-115.2891,35.2726,2017-07-25
-105.631389,33.614722,2017-07-25
-105.631389,33.614722,2017-07-25
-106.176,38.7263,2017-07-25
-111.65,35.2,2017-07-25
-103.35167,37.58019,2017-07-25
-103.35167,37.58019,2017-07-25
-102.9137,37.08026,2017-07-25
-102.9137,37.08026,2017-07-25
-104.90841,37.62411,2017-07-25
-105.07926,36.20119,2017-07-25
-105.46722,33.54524,2017-07-25
-105.44634,35.40499,2017-07-25
-107.90472,32.64474,2017-07-25
-105.60196,34.28845,2017-07-25
-105.11806,38.30329,2017-07-25
-105.11806,38.30329,2017-07-25
-102.93558,36.90306,2017-07-25
-102.606944,34.959722,2017-07-25
-102.606944,34.959722,2017-07-25
-106.449733,35.210282,2017-07-25
-110.011586,37.580967,2017-07-25
-109.241111,38.448889,2017-07-25
-111.75,34.88,2017-07-25
-112,34,2017-07-25
-101.37,26.34,2017-07-25
-100.197222,33.942778,2017-07-25
-100.197222,33.942778,2017-07-25
-115.4097,35.1753,2017-07-25
-115.4097,35.1752999991112,2017-07-25
-116.60497,33.55947,2017-07-25
-116.60497,33.55947,2017-07-25
-105.5,33.5,2017-07-25
-115.3083,35.2604,2017-07-25
-115.3083,35.2603999991103,2017-07-25
-102.93195,36.90306,2017-07-25
-105.0772,40.5661,2017-07-25
-111.3711,35.52,2017-07-25
-115.28898,35.27267,2017-07-25
-115.2875,35.2724999991101,2017-07-25
-115.289,35.2726999991101,2017-07-25
-115.2875,35.2725,2017-07-25
-115.289,35.2727,2017-07-25
-115.28898,35.2726699991101,2017-07-25
-115.2897,35.2721999991101,2017-07-25
-115.289,35.2726999991101,2017-07-25
-115.289,35.2727,2017-07-25
-108.659064,37.341564,2017-07-25
-104.82518,38.830781,2017-07-25
-111.67,35.15,2017-07-25
-115.3336,35.2441,2017-07-25
-115.3336,35.2440999991104,2017-07-25
-115.3051,35.2983,2017-07-25
-115.3051,35.2982999991098,2017-07-25
-103.9678,36.78389,2017-07-25
-106.57,32.8,2017-07-25
-115.216667,35.35,2017-07-25
-115.216667,35.3499999991093,2017-07-25
-116.601,33.6287,2017-07-25
-104.5,37.166698,2017-07-25
-113.4267,35.5397,2017-07-25
-106.353214,37.678775,2017-07-25
-105.016998,37.150002,2017-07-25
-107.59569,37.222252,2017-07-25
-108.583,37.333302,2017-07-25
-106.353214,37.678775,2017-07-25
-102.98,36.92,2017-07-25
-109.28,31.83,2017-07-25
-112.1892,38.46,2017-07-25
-105,39,2017-07-25
-105.38,33.5,2017-07-25
-111.3711,35.52,2017-07-25
-111.3711,35.52,2017-07-25
-105.37,35.98,2017-07-25
-77.0306,38.8892,2017-07-25
-105,35,2017-07-25
-116.49,33.57,2017-07-25
-108.397,39.906,2017-07-25
-102.9763,37.0016,2017-07-25
-112.64,38.41,2017-07-25
-105.0795,39.0853,2017-07-25
-106.5531,39.9565,2017-07-25
-83.675,42.308333,2017-07-25
-105.2174,38.4549,2017-07-25
-108.44254,40.45191,2017-07-25
-116.49,33.57,2017-07-25
-105.178,40.7638,2017-07-25
-108.0583,39.5714,2017-07-25
-107.2999,37.1938,2017-07-25
-106.2494,37.0564,2017-07-25
-83.675,42.308333,2017-07-25
-115.5848,35.5315,2017-07-25
-105.3528,40.7196,2017-07-25
-105.3499,37.8521,2017-07-25
-108.25513,39.01214,2017-07-25
-111.53,35.36,2017-07-25
-108.7439,38.9374,2017-07-25
-108.8422,38.2116,2017-07-25
-111.53,35.36,2017-07-25
-108.86,39.51,2017-07-25
-115.328283,35.2624,2017-07-25
-105.0839,39.23,2017-07-25
-105.1814,40.7632,2017-07-25
-107.7135,38.5249,2017-07-25
-111.53,35.36,2017-07-25
-105.5525,37.6189,2017-07-25
-107.53612,37.03335,2017-07-25
-115.3723,35.2722,2017-07-25
-104.9619,39.73193,2017-07-25
-108.9848,37.5523,2017-07-25
-115.5848,35.5314999991073,2017-07-25
-102.9509,37.0392,2017-07-25
-108.86,39.51,2017-07-25
-112.64,38.41,2017-07-25
-103.0358,37.1129,2017-07-25
-107.7379,38.8008,2017-07-25
-108.84015,40.46641,2017-07-25
-115.298233,35.255267,2017-07-25
-108.50453,37.47493,2017-07-25
-111.53,35.36,2017-07-25
-105.4954,38.4499,2017-07-25
-112.61,37.3,2017-07-25
-112.64,38.41,2017-07-25
-112.64,38.41,2017-07-25
-102.6713,37.0225,2017-07-25
-106.2294,38.7183,2017-07-25
-108.90396,38.7489,2017-07-25
