species,x,y
VulpesVulpes,-159.75,70.750007823
VulpesVulpes,-158.25,70.750007823
VulpesVulpes,-156.75,70.750007823
VulpesVulpes,-155.25,70.750007823
VulpesVulpes,-153.75,70.750007823
VulpesVulpes,-152.25,70.750007823
VulpesVulpes,-150.75,70.750007823
VulpesVulpes,-149.25,70.750007823
VulpesVulpes,-147.75,70.750007823
VulpesVulpes,-126.75,70.750007823
VulpesVulpes,-96.75,70.750007823
VulpesVulpes,-95.25,70.750007823
VulpesVulpes,-93.75,70.750007823
VulpesVulpes,-92.25,70.750007823
VulpesVulpes,-87.75,70.750007823
VulpesVulpes,-86.25,70.750007823
VulpesVulpes,-84.75,70.750007823
VulpesVulpes,-83.25,70.750007823
VulpesVulpes,-81.75,70.750007823
VulpesVulpes,-80.25,70.750007823
VulpesVulpes,-78.75,70.750007823
VulpesVulpes,-77.25,70.750007823
VulpesVulpes,-75.75,70.750007823
VulpesVulpes,-74.25,70.750007823
VulpesVulpes,-72.75,70.750007823
VulpesVulpes,-71.25,70.750007823
VulpesVulpes,-69.75,70.750007823
VulpesVulpes,-68.25,70.750007823
VulpesVulpes,21.75,70.750007823
VulpesVulpes,23.25,70.750007823
VulpesVulpes,24.75,70.750007823
VulpesVulpes,26.25,70.750007823
VulpesVulpes,27.75,70.750007823
VulpesVulpes,29.25,70.750007823
VulpesVulpes,30.75,70.750007823
VulpesVulpes,90.75,70.750007823
VulpesVulpes,92.25,70.750007823
VulpesVulpes,93.75,70.750007823
VulpesVulpes,95.25,70.750007823
VulpesVulpes,96.75,70.750007823
VulpesVulpes,98.25,70.750007823
VulpesVulpes,99.75,70.750007823
VulpesVulpes,101.25,70.750007823
VulpesVulpes,102.75,70.750007823
VulpesVulpes,104.25,70.750007823
VulpesVulpes,105.75,70.750007823
VulpesVulpes,107.25,70.750007823
VulpesVulpes,108.75,70.750007823
VulpesVulpes,110.25,70.750007823
VulpesVulpes,111.75,70.750007823
VulpesVulpes,113.25,70.750007823
VulpesVulpes,114.75,70.750007823
VulpesVulpes,116.25,70.750007823
VulpesVulpes,117.75,70.750007823
VulpesVulpes,119.25,70.750007823
VulpesVulpes,120.75,70.750007823
VulpesVulpes,122.25,70.750007823
VulpesVulpes,123.75,70.750007823
VulpesVulpes,125.25,70.750007823
VulpesVulpes,126.75,70.750007823
VulpesVulpes,128.25,70.750007823
VulpesVulpes,129.75,70.750007823
VulpesVulpes,131.25,70.750007823
VulpesVulpes,132.75,70.750007823
VulpesVulpes,134.25,70.750007823
VulpesVulpes,135.75,70.750007823
VulpesVulpes,137.25,70.750007823
VulpesVulpes,138.75,70.750007823
VulpesVulpes,140.25,70.750007823
VulpesVulpes,141.75,70.750007823
VulpesVulpes,143.25,70.750007823
VulpesVulpes,144.75,70.750007823
VulpesVulpes,146.25,70.750007823
VulpesVulpes,147.75,70.750007823
VulpesVulpes,149.25,70.750007823
VulpesVulpes,150.75,70.750007823
VulpesVulpes,152.25,70.750007823
VulpesVulpes,153.75,70.750007823
VulpesVulpes,155.25,70.750007823
VulpesVulpes,156.75,70.750007823
VulpesVulpes,158.25,70.750007823
VulpesVulpes,159.75,70.750007823
VulpesVulpes,-179.25,69.250007823
VulpesVulpes,-165.75,69.250007823
VulpesVulpes,-164.25,69.250007823
VulpesVulpes,-162.75,69.250007823
VulpesVulpes,-161.25,69.250007823
VulpesVulpes,-159.75,69.250007823
VulpesVulpes,-158.25,69.250007823
VulpesVulpes,-156.75,69.250007823
VulpesVulpes,-155.25,69.250007823
VulpesVulpes,-153.75,69.250007823
VulpesVulpes,-152.25,69.250007823
VulpesVulpes,-150.75,69.250007823
VulpesVulpes,-149.25,69.250007823
VulpesVulpes,-147.75,69.250007823
VulpesVulpes,-146.25,69.250007823
VulpesVulpes,-144.75,69.250007823
VulpesVulpes,-143.25,69.250007823
VulpesVulpes,-141.75,69.250007823
VulpesVulpes,-140.25,69.250007823
VulpesVulpes,-138.75,69.250007823
VulpesVulpes,-137.25,69.250007823
VulpesVulpes,-135.75,69.250007823
VulpesVulpes,-134.25,69.250007823
VulpesVulpes,-132.75,69.250007823
VulpesVulpes,-131.25,69.250007823
VulpesVulpes,-129.75,69.250007823
VulpesVulpes,-128.25,69.250007823
VulpesVulpes,-126.75,69.250007823
VulpesVulpes,-125.25,69.250007823
VulpesVulpes,-123.75,69.250007823
VulpesVulpes,-122.25,69.250007823
VulpesVulpes,-120.75,69.250007823
VulpesVulpes,-119.25,69.250007823
VulpesVulpes,-117.75,69.250007823
VulpesVulpes,-116.25,69.250007823
VulpesVulpes,-114.75,69.250007823
VulpesVulpes,-105.75,69.250007823
VulpesVulpes,-95.25,69.250007823
VulpesVulpes,-93.75,69.250007823
VulpesVulpes,-92.25,69.250007823
VulpesVulpes,-90.75,69.250007823
VulpesVulpes,-89.25,69.250007823
VulpesVulpes,-87.75,69.250007823
VulpesVulpes,-84.75,69.250007823
VulpesVulpes,-83.25,69.250007823
VulpesVulpes,-81.75,69.250007823
VulpesVulpes,-77.25,69.250007823
VulpesVulpes,-75.75,69.250007823
VulpesVulpes,-74.25,69.250007823
VulpesVulpes,-72.75,69.250007823
VulpesVulpes,-71.25,69.250007823
VulpesVulpes,-69.75,69.250007823
VulpesVulpes,-68.25,69.250007823
VulpesVulpes,-66.75,69.250007823
VulpesVulpes,17.25,69.250007823
VulpesVulpes,18.75,69.250007823
VulpesVulpes,20.25,69.250007823
VulpesVulpes,21.75,69.250007823
VulpesVulpes,23.25,69.250007823
VulpesVulpes,24.75,69.250007823
VulpesVulpes,26.25,69.250007823
VulpesVulpes,27.75,69.250007823
VulpesVulpes,29.25,69.250007823
VulpesVulpes,30.75,69.250007823
VulpesVulpes,32.25,69.250007823
VulpesVulpes,33.75,69.250007823
VulpesVulpes,35.25,69.250007823
VulpesVulpes,36.75,69.250007823
VulpesVulpes,53.25,69.250007823
VulpesVulpes,57.75,69.250007823
VulpesVulpes,59.25,69.250007823
VulpesVulpes,60.75,69.250007823
VulpesVulpes,62.25,69.250007823
VulpesVulpes,63.75,69.250007823
VulpesVulpes,65.25,69.250007823
VulpesVulpes,66.75,69.250007823
VulpesVulpes,83.25,69.250007823
VulpesVulpes,84.75,69.250007823
VulpesVulpes,86.25,69.250007823
VulpesVulpes,87.75,69.250007823
VulpesVulpes,89.25,69.250007823
VulpesVulpes,90.75,69.250007823
VulpesVulpes,92.25,69.250007823
VulpesVulpes,93.75,69.250007823
VulpesVulpes,95.25,69.250007823
VulpesVulpes,96.75,69.250007823
VulpesVulpes,98.25,69.250007823
VulpesVulpes,99.75,69.250007823
VulpesVulpes,101.25,69.250007823
VulpesVulpes,102.75,69.250007823
VulpesVulpes,104.25,69.250007823
VulpesVulpes,105.75,69.250007823
VulpesVulpes,107.25,69.250007823
VulpesVulpes,108.75,69.250007823
VulpesVulpes,110.25,69.250007823
VulpesVulpes,111.75,69.250007823
VulpesVulpes,113.25,69.250007823
VulpesVulpes,114.75,69.250007823
VulpesVulpes,116.25,69.250007823
VulpesVulpes,117.75,69.250007823
VulpesVulpes,119.25,69.250007823
VulpesVulpes,120.75,69.250007823
VulpesVulpes,122.25,69.250007823
VulpesVulpes,123.75,69.250007823
VulpesVulpes,125.25,69.250007823
VulpesVulpes,126.75,69.250007823
VulpesVulpes,128.25,69.250007823
VulpesVulpes,129.75,69.250007823
VulpesVulpes,131.25,69.250007823
VulpesVulpes,132.75,69.250007823
VulpesVulpes,134.25,69.250007823
VulpesVulpes,135.75,69.250007823
VulpesVulpes,137.25,69.250007823
VulpesVulpes,138.75,69.250007823
VulpesVulpes,140.25,69.250007823
VulpesVulpes,141.75,69.250007823
VulpesVulpes,143.25,69.250007823
VulpesVulpes,144.75,69.250007823
VulpesVulpes,146.25,69.250007823
VulpesVulpes,147.75,69.250007823
VulpesVulpes,149.25,69.250007823
VulpesVulpes,150.75,69.250007823
VulpesVulpes,152.25,69.250007823
VulpesVulpes,153.75,69.250007823
VulpesVulpes,155.25,69.250007823
VulpesVulpes,156.75,69.250007823
VulpesVulpes,158.25,69.250007823
VulpesVulpes,159.75,69.250007823
VulpesVulpes,161.25,69.250007823
VulpesVulpes,162.75,69.250007823
VulpesVulpes,164.25,69.250007823
VulpesVulpes,165.75,69.250007823
VulpesVulpes,167.25,69.250007823
VulpesVulpes,168.75,69.250007823
VulpesVulpes,170.25,69.250007823
VulpesVulpes,171.75,69.250007823
VulpesVulpes,173.25,69.250007823
VulpesVulpes,174.75,69.250007823
VulpesVulpes,176.25,69.250007823
VulpesVulpes,177.75,69.250007823
VulpesVulpes,179.25,69.250007823
VulpesVulpes,-179.25,67.750007823
VulpesVulpes,-177.75,67.750007823
VulpesVulpes,-176.25,67.750007823
VulpesVulpes,-174.75,67.750007823
VulpesVulpes,-165.75,67.750007823
VulpesVulpes,-164.25,67.750007823
VulpesVulpes,-162.75,67.750007823
VulpesVulpes,-161.25,67.750007823
VulpesVulpes,-159.75,67.750007823
VulpesVulpes,-158.25,67.750007823
VulpesVulpes,-156.75,67.750007823
VulpesVulpes,-155.25,67.750007823
VulpesVulpes,-153.75,67.750007823
VulpesVulpes,-152.25,67.750007823
VulpesVulpes,-150.75,67.750007823
VulpesVulpes,-149.25,67.750007823
VulpesVulpes,-147.75,67.750007823
VulpesVulpes,-146.25,67.750007823
VulpesVulpes,-144.75,67.750007823
VulpesVulpes,-143.25,67.750007823
VulpesVulpes,-141.75,67.750007823
VulpesVulpes,-140.25,67.750007823
VulpesVulpes,-138.75,67.750007823
VulpesVulpes,-137.25,67.750007823
VulpesVulpes,-135.75,67.750007823
VulpesVulpes,-134.25,67.750007823
VulpesVulpes,-132.75,67.750007823
VulpesVulpes,-131.25,67.750007823
VulpesVulpes,-129.75,67.750007823
VulpesVulpes,-128.25,67.750007823
VulpesVulpes,-126.75,67.750007823
VulpesVulpes,-125.25,67.750007823
VulpesVulpes,-123.75,67.750007823
VulpesVulpes,-122.25,67.750007823
VulpesVulpes,-120.75,67.750007823
VulpesVulpes,-119.25,67.750007823
VulpesVulpes,-117.75,67.750007823
VulpesVulpes,-116.25,67.750007823
VulpesVulpes,-114.75,67.750007823
VulpesVulpes,-113.25,67.750007823
VulpesVulpes,-111.75,67.750007823
VulpesVulpes,-110.25,67.750007823
VulpesVulpes,-108.75,67.750007823
VulpesVulpes,-107.25,67.750007823
VulpesVulpes,-105.75,67.750007823
VulpesVulpes,-104.25,67.750007823
VulpesVulpes,-102.75,67.750007823
VulpesVulpes,-101.25,67.750007823
VulpesVulpes,-99.75,67.750007823
VulpesVulpes,-98.25,67.750007823
VulpesVulpes,-96.75,67.750007823
VulpesVulpes,-95.25,67.750007823
VulpesVulpes,-93.75,67.750007823
VulpesVulpes,-92.25,67.750007823
VulpesVulpes,-90.75,67.750007823
VulpesVulpes,-89.25,67.750007823
VulpesVulpes,-87.75,67.750007823
VulpesVulpes,-86.25,67.750007823
VulpesVulpes,-84.75,67.750007823
VulpesVulpes,-83.25,67.750007823
VulpesVulpes,-81.75,67.750007823
VulpesVulpes,-72.75,67.750007823
VulpesVulpes,-71.25,67.750007823
VulpesVulpes,-69.75,67.750007823
VulpesVulpes,-68.25,67.750007823
VulpesVulpes,-66.75,67.750007823
VulpesVulpes,-65.25,67.750007823
VulpesVulpes,15.75,67.750007823
VulpesVulpes,17.25,67.750007823
VulpesVulpes,18.75,67.750007823
VulpesVulpes,20.25,67.750007823
VulpesVulpes,21.75,67.750007823
VulpesVulpes,23.25,67.750007823
VulpesVulpes,24.75,67.750007823
VulpesVulpes,26.25,67.750007823
VulpesVulpes,27.75,67.750007823
VulpesVulpes,29.25,67.750007823
VulpesVulpes,30.75,67.750007823
VulpesVulpes,32.25,67.750007823
VulpesVulpes,33.75,67.750007823
VulpesVulpes,35.25,67.750007823
VulpesVulpes,36.75,67.750007823
VulpesVulpes,38.25,67.750007823
VulpesVulpes,39.75,67.750007823
VulpesVulpes,41.25,67.750007823
VulpesVulpes,44.25,67.750007823
VulpesVulpes,45.75,67.750007823
VulpesVulpes,48.75,67.750007823
VulpesVulpes,50.25,67.750007823
VulpesVulpes,51.75,67.750007823
VulpesVulpes,53.25,67.750007823
VulpesVulpes,54.75,67.750007823
VulpesVulpes,56.25,67.750007823
VulpesVulpes,57.75,67.750007823
VulpesVulpes,59.25,67.750007823
VulpesVulpes,60.75,67.750007823
VulpesVulpes,62.25,67.750007823
VulpesVulpes,63.75,67.750007823
VulpesVulpes,65.25,67.750007823
VulpesVulpes,66.75,67.750007823
VulpesVulpes,68.25,67.750007823
VulpesVulpes,69.75,67.750007823
VulpesVulpes,71.25,67.750007823
VulpesVulpes,74.25,67.750007823
VulpesVulpes,75.75,67.750007823
VulpesVulpes,77.25,67.750007823
VulpesVulpes,78.75,67.750007823
VulpesVulpes,80.25,67.750007823
VulpesVulpes,81.75,67.750007823
VulpesVulpes,83.25,67.750007823
VulpesVulpes,84.75,67.750007823
VulpesVulpes,86.25,67.750007823
VulpesVulpes,87.75,67.750007823
VulpesVulpes,89.25,67.750007823
VulpesVulpes,90.75,67.750007823
VulpesVulpes,92.25,67.750007823
VulpesVulpes,93.75,67.750007823
VulpesVulpes,95.25,67.750007823
VulpesVulpes,96.75,67.750007823
VulpesVulpes,98.25,67.750007823
VulpesVulpes,99.75,67.750007823
VulpesVulpes,101.25,67.750007823
VulpesVulpes,102.75,67.750007823
VulpesVulpes,104.25,67.750007823
VulpesVulpes,105.75,67.750007823
VulpesVulpes,107.25,67.750007823
VulpesVulpes,108.75,67.750007823
VulpesVulpes,110.25,67.750007823
VulpesVulpes,111.75,67.750007823
VulpesVulpes,113.25,67.750007823
VulpesVulpes,114.75,67.750007823
VulpesVulpes,116.25,67.750007823
VulpesVulpes,117.75,67.750007823
VulpesVulpes,119.25,67.750007823
VulpesVulpes,120.75,67.750007823
VulpesVulpes,122.25,67.750007823
VulpesVulpes,123.75,67.750007823
VulpesVulpes,125.25,67.750007823
VulpesVulpes,126.75,67.750007823
VulpesVulpes,128.25,67.750007823
VulpesVulpes,129.75,67.750007823
VulpesVulpes,131.25,67.750007823
VulpesVulpes,132.75,67.750007823
VulpesVulpes,134.25,67.750007823
VulpesVulpes,135.75,67.750007823
VulpesVulpes,137.25,67.750007823
VulpesVulpes,138.75,67.750007823
VulpesVulpes,140.25,67.750007823
VulpesVulpes,141.75,67.750007823
VulpesVulpes,143.25,67.750007823
VulpesVulpes,144.75,67.750007823
VulpesVulpes,146.25,67.750007823
VulpesVulpes,147.75,67.750007823
VulpesVulpes,149.25,67.750007823
VulpesVulpes,150.75,67.750007823
VulpesVulpes,152.25,67.750007823
VulpesVulpes,153.75,67.750007823
VulpesVulpes,155.25,67.750007823
VulpesVulpes,156.75,67.750007823
VulpesVulpes,158.25,67.750007823
VulpesVulpes,159.75,67.750007823
VulpesVulpes,161.25,67.750007823
VulpesVulpes,162.75,67.750007823
VulpesVulpes,164.25,67.750007823
VulpesVulpes,165.75,67.750007823
VulpesVulpes,167.25,67.750007823
VulpesVulpes,168.75,67.750007823
VulpesVulpes,170.25,67.750007823
VulpesVulpes,171.75,67.750007823
VulpesVulpes,173.25,67.750007823
VulpesVulpes,174.75,67.750007823
VulpesVulpes,176.25,67.750007823
VulpesVulpes,177.75,67.750007823
VulpesVulpes,179.25,67.750007823
VulpesVulpes,-179.25,66.250007823
VulpesVulpes,-177.75,66.250007823
VulpesVulpes,-176.25,66.250007823
VulpesVulpes,-174.75,66.250007823
VulpesVulpes,-173.25,66.250007823
VulpesVulpes,-171.75,66.250007823
VulpesVulpes,-170.25,66.250007823
VulpesVulpes,-167.25,66.250007823
VulpesVulpes,-165.75,66.250007823
VulpesVulpes,-164.25,66.250007823
VulpesVulpes,-162.75,66.250007823
VulpesVulpes,-161.25,66.250007823
VulpesVulpes,-159.75,66.250007823
VulpesVulpes,-158.25,66.250007823
VulpesVulpes,-156.75,66.250007823
VulpesVulpes,-155.25,66.250007823
VulpesVulpes,-153.75,66.250007823
VulpesVulpes,-152.25,66.250007823
VulpesVulpes,-150.75,66.250007823
VulpesVulpes,-149.25,66.250007823
VulpesVulpes,-147.75,66.250007823
VulpesVulpes,-146.25,66.250007823
VulpesVulpes,-144.75,66.250007823
VulpesVulpes,-143.25,66.250007823
VulpesVulpes,-141.75,66.250007823
VulpesVulpes,-140.25,66.250007823
VulpesVulpes,-138.75,66.250007823
VulpesVulpes,-137.25,66.250007823
VulpesVulpes,-135.75,66.250007823
VulpesVulpes,-134.25,66.250007823
VulpesVulpes,-132.75,66.250007823
VulpesVulpes,-131.25,66.250007823
VulpesVulpes,-129.75,66.250007823
VulpesVulpes,-128.25,66.250007823
VulpesVulpes,-126.75,66.250007823
VulpesVulpes,-125.25,66.250007823
VulpesVulpes,-123.75,66.250007823
VulpesVulpes,-122.25,66.250007823
VulpesVulpes,-120.75,66.250007823
VulpesVulpes,-119.25,66.250007823
VulpesVulpes,-117.75,66.250007823
VulpesVulpes,-116.25,66.250007823
VulpesVulpes,-114.75,66.250007823
VulpesVulpes,-113.25,66.250007823
VulpesVulpes,-111.75,66.250007823
VulpesVulpes,-110.25,66.250007823
VulpesVulpes,-108.75,66.250007823
VulpesVulpes,-107.25,66.250007823
VulpesVulpes,-105.75,66.250007823
VulpesVulpes,-104.25,66.250007823
VulpesVulpes,-102.75,66.250007823
VulpesVulpes,-101.25,66.250007823
VulpesVulpes,-99.75,66.250007823
VulpesVulpes,-98.25,66.250007823
VulpesVulpes,-96.75,66.250007823
VulpesVulpes,-95.25,66.250007823
VulpesVulpes,-93.75,66.250007823
VulpesVulpes,-92.25,66.250007823
VulpesVulpes,-90.75,66.250007823
VulpesVulpes,-89.25,66.250007823
VulpesVulpes,-87.75,66.250007823
VulpesVulpes,-86.25,66.250007823
VulpesVulpes,-84.75,66.250007823
VulpesVulpes,-83.25,66.250007823
VulpesVulpes,-81.75,66.250007823
VulpesVulpes,-74.25,66.250007823
VulpesVulpes,-72.75,66.250007823
VulpesVulpes,-71.25,66.250007823
VulpesVulpes,-69.75,66.250007823
VulpesVulpes,-68.25,66.250007823
VulpesVulpes,-66.75,66.250007823
VulpesVulpes,-65.25,66.250007823
VulpesVulpes,-63.75,66.250007823
VulpesVulpes,-62.25,66.250007823
VulpesVulpes,12.75,66.250007823
VulpesVulpes,14.25,66.250007823
VulpesVulpes,15.75,66.250007823
VulpesVulpes,17.25,66.250007823
VulpesVulpes,18.75,66.250007823
VulpesVulpes,20.25,66.250007823
VulpesVulpes,21.75,66.250007823
VulpesVulpes,23.25,66.250007823
VulpesVulpes,24.75,66.250007823
VulpesVulpes,26.25,66.250007823
VulpesVulpes,27.75,66.250007823
VulpesVulpes,29.25,66.250007823
VulpesVulpes,30.75,66.250007823
VulpesVulpes,32.25,66.250007823
VulpesVulpes,33.75,66.250007823
VulpesVulpes,35.25,66.250007823
VulpesVulpes,36.75,66.250007823
VulpesVulpes,38.25,66.250007823
VulpesVulpes,39.75,66.250007823
VulpesVulpes,41.25,66.250007823
VulpesVulpes,42.75,66.250007823
VulpesVulpes,44.25,66.250007823
VulpesVulpes,45.75,66.250007823
VulpesVulpes,47.25,66.250007823
VulpesVulpes,48.75,66.250007823
VulpesVulpes,50.25,66.250007823
VulpesVulpes,51.75,66.250007823
VulpesVulpes,53.25,66.250007823
VulpesVulpes,54.75,66.250007823
VulpesVulpes,56.25,66.250007823
VulpesVulpes,57.75,66.250007823
VulpesVulpes,59.25,66.250007823
VulpesVulpes,60.75,66.250007823
VulpesVulpes,62.25,66.250007823
VulpesVulpes,63.75,66.250007823
VulpesVulpes,65.25,66.250007823
VulpesVulpes,66.75,66.250007823
VulpesVulpes,68.25,66.250007823
VulpesVulpes,69.75,66.250007823
VulpesVulpes,71.25,66.250007823
VulpesVulpes,72.75,66.250007823
VulpesVulpes,74.25,66.250007823
VulpesVulpes,75.75,66.250007823
VulpesVulpes,77.25,66.250007823
VulpesVulpes,78.75,66.250007823
VulpesVulpes,80.25,66.250007823
VulpesVulpes,81.75,66.250007823
VulpesVulpes,83.25,66.250007823
VulpesVulpes,84.75,66.250007823
VulpesVulpes,86.25,66.250007823
VulpesVulpes,87.75,66.250007823
VulpesVulpes,89.25,66.250007823
VulpesVulpes,90.75,66.250007823
VulpesVulpes,92.25,66.250007823
VulpesVulpes,93.75,66.250007823
VulpesVulpes,95.25,66.250007823
VulpesVulpes,96.75,66.250007823
VulpesVulpes,98.25,66.250007823
VulpesVulpes,99.75,66.250007823
VulpesVulpes,101.25,66.250007823
VulpesVulpes,102.75,66.250007823
VulpesVulpes,104.25,66.250007823
VulpesVulpes,105.75,66.250007823
VulpesVulpes,107.25,66.250007823
VulpesVulpes,108.75,66.250007823
VulpesVulpes,110.25,66.250007823
VulpesVulpes,111.75,66.250007823
VulpesVulpes,113.25,66.250007823
VulpesVulpes,114.75,66.250007823
VulpesVulpes,116.25,66.250007823
VulpesVulpes,117.75,66.250007823
VulpesVulpes,119.25,66.250007823
VulpesVulpes,120.75,66.250007823
VulpesVulpes,122.25,66.250007823
VulpesVulpes,123.75,66.250007823
VulpesVulpes,125.25,66.250007823
VulpesVulpes,126.75,66.250007823
VulpesVulpes,128.25,66.250007823
VulpesVulpes,129.75,66.250007823
VulpesVulpes,131.25,66.250007823
VulpesVulpes,132.75,66.250007823
VulpesVulpes,134.25,66.250007823
VulpesVulpes,135.75,66.250007823
VulpesVulpes,137.25,66.250007823
VulpesVulpes,138.75,66.250007823
VulpesVulpes,140.25,66.250007823
VulpesVulpes,141.75,66.250007823
VulpesVulpes,143.25,66.250007823
VulpesVulpes,144.75,66.250007823
VulpesVulpes,146.25,66.250007823
VulpesVulpes,147.75,66.250007823
VulpesVulpes,149.25,66.250007823
VulpesVulpes,150.75,66.250007823
VulpesVulpes,152.25,66.250007823
VulpesVulpes,153.75,66.250007823
VulpesVulpes,155.25,66.250007823
VulpesVulpes,156.75,66.250007823
VulpesVulpes,158.25,66.250007823
VulpesVulpes,159.75,66.250007823
VulpesVulpes,161.25,66.250007823
VulpesVulpes,162.75,66.250007823
VulpesVulpes,164.25,66.250007823
VulpesVulpes,165.75,66.250007823
VulpesVulpes,167.25,66.250007823
VulpesVulpes,168.75,66.250007823
VulpesVulpes,170.25,66.250007823
VulpesVulpes,171.75,66.250007823
VulpesVulpes,173.25,66.250007823
VulpesVulpes,174.75,66.250007823
VulpesVulpes,176.25,66.250007823
VulpesVulpes,177.75,66.250007823
VulpesVulpes,179.25,66.250007823
VulpesVulpes,-179.25,64.750007823
VulpesVulpes,-176.25,64.750007823
VulpesVulpes,-174.75,64.750007823
VulpesVulpes,-173.25,64.750007823
VulpesVulpes,-171.75,64.750007823
VulpesVulpes,-165.75,64.750007823
VulpesVulpes,-164.25,64.750007823
VulpesVulpes,-162.75,64.750007823
VulpesVulpes,-161.25,64.750007823
VulpesVulpes,-159.75,64.750007823
VulpesVulpes,-158.25,64.750007823
VulpesVulpes,-156.75,64.750007823
VulpesVulpes,-155.25,64.750007823
VulpesVulpes,-153.75,64.750007823
VulpesVulpes,-152.25,64.750007823
VulpesVulpes,-150.75,64.750007823
VulpesVulpes,-149.25,64.750007823
VulpesVulpes,-147.75,64.750007823
VulpesVulpes,-146.25,64.750007823
VulpesVulpes,-144.75,64.750007823
VulpesVulpes,-143.25,64.750007823
VulpesVulpes,-141.75,64.750007823
VulpesVulpes,-140.25,64.750007823
VulpesVulpes,-138.75,64.750007823
VulpesVulpes,-137.25,64.750007823
VulpesVulpes,-135.75,64.750007823
VulpesVulpes,-134.25,64.750007823
VulpesVulpes,-132.75,64.750007823
VulpesVulpes,-131.25,64.750007823
VulpesVulpes,-129.75,64.750007823
VulpesVulpes,-128.25,64.750007823
VulpesVulpes,-126.75,64.750007823
VulpesVulpes,-125.25,64.750007823
VulpesVulpes,-123.75,64.750007823
VulpesVulpes,-122.25,64.750007823
VulpesVulpes,-120.75,64.750007823
VulpesVulpes,-119.25,64.750007823
VulpesVulpes,-117.75,64.750007823
VulpesVulpes,-116.25,64.750007823
VulpesVulpes,-114.75,64.750007823
VulpesVulpes,-113.25,64.750007823
VulpesVulpes,-111.75,64.750007823
VulpesVulpes,-110.25,64.750007823
VulpesVulpes,-108.75,64.750007823
VulpesVulpes,-107.25,64.750007823
VulpesVulpes,-105.75,64.750007823
VulpesVulpes,-104.25,64.750007823
VulpesVulpes,-102.75,64.750007823
VulpesVulpes,-101.25,64.750007823
VulpesVulpes,-99.75,64.750007823
VulpesVulpes,-98.25,64.750007823
VulpesVulpes,-96.75,64.750007823
VulpesVulpes,-95.25,64.750007823
VulpesVulpes,-93.75,64.750007823
VulpesVulpes,-92.25,64.750007823
VulpesVulpes,-90.75,64.750007823
VulpesVulpes,-89.25,64.750007823
VulpesVulpes,-87.75,64.750007823
VulpesVulpes,-77.25,64.750007823
VulpesVulpes,-75.75,64.750007823
VulpesVulpes,-74.25,64.750007823
VulpesVulpes,-72.75,64.750007823
VulpesVulpes,-71.25,64.750007823
VulpesVulpes,-69.75,64.750007823
VulpesVulpes,-68.25,64.750007823
VulpesVulpes,-66.75,64.750007823
VulpesVulpes,-65.25,64.750007823
VulpesVulpes,-63.75,64.750007823
VulpesVulpes,11.25,64.750007823
VulpesVulpes,12.75,64.750007823
VulpesVulpes,14.25,64.750007823
VulpesVulpes,15.75,64.750007823
VulpesVulpes,17.25,64.750007823
VulpesVulpes,18.75,64.750007823
VulpesVulpes,20.25,64.750007823
VulpesVulpes,21.75,64.750007823
VulpesVulpes,24.75,64.750007823
VulpesVulpes,26.25,64.750007823
